Timestamp,Device Name,MessageType,Data
2025-09-02 09:16:59.489311,Processor,Option,'PrintToTrace,True'
2025-09-02 09:17:14.619064,iPad,Option,'PrintToTrace,True'
2025-09-02 09:17:29.735253,Phone,Option,'PrintToTrace,True'
2025-09-02 09:17:29.739258,MainTP,Option,'PrintToTrace,True'
2025-09-02 09:17:29.740258,MainTP,Command,'AddPanel,BonusRoom0'
2025-09-02 09:17:29.740258,MainTP,Command,'AddPanel,BonusRoom1'
2025-09-02 09:17:29.779794,AVR,Option,'PrintToTrace,True'
2025-09-02 09:17:29.780793,Projector,Option,'PrintToTrace,True'
2025-09-02 09:17:29.782885,Projector,Event,'ConnectionStatus,Disconnected,None'
2025-09-02 09:17:29.788909,AVR,Event,'OnlineStatus,Online'
2025-09-02 09:17:29.790916,MainTP,Command,'HideAllPopups'
2025-09-02 09:17:29.790916,MainTP,Command,'ShowPage,Start Page'
2025-09-02 09:17:29.949256,iPad,Event,'DisplayStateChanged,Unavailable'
2025-09-02 09:17:29.950179,iPad,Event,'DisplayTimerChanged,Unavailable'
2025-09-02 09:17:29.950179,iPad,Event,'DisplayTimerEnabledChanged,Unavailable'
2025-09-02 09:17:29.951232,iPad,Event,'InactivityTime,0'
2025-09-02 09:17:29.951232,iPad,Event,'LightDetectedStateChanged,Unavailable'
2025-09-02 09:17:29.952177,iPad,Event,'SleepTimerChanged,Unavailable'
2025-09-02 09:17:29.952736,iPad,Event,'SleepTimerEnabledChanged,Unavailable'
2025-09-02 09:17:39.799228,Projector,Command,'Connect'
2025-09-02 09:17:39.962988,Projector,Event,'ConnectionStatus,Connected,None'
2025-09-02 09:17:40.032030,MainTP,Command,'SetText,Label,100,lbl_projector,Projector\nStatus'
2025-09-02 09:17:41.117854,Projector,API,From Device,"b'Ok003V\\xaf8000C1500\\r'"
2025-09-02 09:17:45.093048,Phone,Event,'DisplayStateChanged,Unavailable'
2025-09-02 09:17:45.093048,Phone,Event,'DisplayTimerChanged,Unavailable'
2025-09-02 09:17:45.093048,Phone,Event,'DisplayTimerEnabledChanged,Unavailable'
2025-09-02 09:17:45.094053,Phone,Event,'InactivityTime,0'
2025-09-02 09:17:45.094053,Phone,Event,'LightDetectedStateChanged,Unavailable'
2025-09-02 09:17:45.094053,Phone,Event,'SleepTimerChanged,Unavailable'
2025-09-02 09:17:45.094053,Phone,Event,'SleepTimerEnabledChanged,Unavailable'
2025-09-02 09:17:50.056409,Projector,Command,'UpdatePower,None'
2025-09-02 09:17:50.056409,Projector,API,To Device,'~00150 1\r'
2025-09-02 09:17:50.414628,Projector,API,From Device,b'Ok003V\xaf8000C1500\r'
2025-09-02 09:17:50.424244,Projector,Event,'Power,Off,None'
2025-09-02 09:17:50.476979,MainTP,Command,'SetStateButton,101,btn_projector,0'
2025-09-02 09:17:50.476979,MainTP,Command,'SetTextButton,101,btn_projector,Off'
2025-09-02 09:17:50.476979,MainTP,Command,'ShowPage,Start Page'
2025-09-02 09:17:50.476979,MainTP,Command,'HideAllPopups'
2025-09-02 09:17:50.476979,Projector,Event,'Input,None,None'
2025-09-02 09:17:50.478003,Projector,Event,'DisplayMode,None,None'
2025-09-02 09:17:52.431996,Projector,API,From Device,"b'Ok003V\\xaf8000C1500\\r'"
2025-09-02 09:18:00.494325,Projector,Command,'UpdatePower,None'Timestamp,Device Name,MessageType,Data
