Timestamp,Device Name,MessageType,Data
2025-09-03 13:00:10.098680,room0 Video Conferencer,Command,'UpdateCalendarStatus,None'
2025-09-03 13:00:10.098680,room0 Video Conferencer,API,To Device,'calendarstatus get\r'
2025-09-03 13:00:10.673328,room0 Video Switcher,API,To Device,'w3cv\r\n'
2025-09-03 13:00:10.673328,room0 Video Switcher,API,To Device,'{1o:B\r}\r'
2025-09-03 13:00:10.831027,room0 Display12,Command,'Connect'
2025-09-03 13:00:11.187724,room0 Display13,Command,'Connect'
2025-09-03 13:00:11.439662,room0 Display3,Command,'Connect'
2025-09-03 13:00:11.486235,room0 Display2,Command,'Connect'
2025-09-03 13:00:11.640171,room0 MediaPort 1,Command,'Connect'
2025-09-03 13:00:11.823596,room0 Display5,Command,'Connect'
2025-09-03 13:00:11.884976,room0 Display13,Command,'Connect'
2025-09-03 13:00:11.931096,room0 MediaPort 2,Command,'Connect'
2025-09-03 13:00:11.945014,room0 Display1,Command,'Connect'
2025-09-03 13:00:12.006727,room0 Display8,Command,'Connect'
2025-09-03 13:00:12.053822,room0 Display3,Command,'Connect'
2025-09-03 13:00:12.053822,room0 Display4,Command,'Connect'
2025-09-03 13:00:12.115344,room0 Video Conferencer,Command,'UpdateVideoContentSource,None'
2025-09-03 13:00:12.115344,room0 Video Conferencer,API,To Device,'vcbutton source get\r'
2025-09-03 13:00:13.142631,room0 Display1,Command,'Connect'
2025-09-03 13:00:13.250510,room0 Display7,Command,'Connect'
2025-09-03 13:00:13.251506,room0 Display5,Command,'Connect'
2025-09-03 13:00:13.357659,room0 Display6,Command,'Connect'
2025-09-03 13:00:13.451491,room0 Display4,Command,'Connect'
2025-09-03 13:00:13.451491,room0 Display14,Command,'Connect'
2025-09-03 13:00:13.482333,room0 Display2,Command,'Connect'
2025-09-03 13:00:13.512861,room0 Display11,Command,'Connect'
2025-09-03 13:00:13.543374,room0 Display8,Command,'Connect'
2025-09-03 13:00:13.637900,room0 Display9,Command,'Connect'
2025-09-03 13:00:13.790548,room0 Display10,Command,'Connect'
2025-09-03 13:00:13.896749,room0 Display10,Command,'Connect'
2025-09-03 13:00:13.943527,Annotator,Command,'Connect'
2025-09-03 13:00:13.989878,room0 Display7,Command,'Connect'
2025-09-03 13:00:14.036111,room0 Display9,Command,'Connect'
2025-09-03 13:00:14.036111,room0 MediaPort 1,Command,'Connect'
2025-09-03 13:00:14.141409,room0 Audio DSP,Command,'Connect'
2025-09-03 13:00:14.172194,room0 MediaPort 2,Command,'Connect'
2025-09-03 13:00:14.280030,room0 Display12,Command,'Connect'
2025-09-03 13:00:14.326254,room0 Display6,Command,'Connect'
2025-09-03 13:00:14.388427,room0 Display11,Command,'Connect'
2025-09-03 13:00:14.450665,room0 Display14,Command,'Connect'
2025-09-03 13:00:14.511885,room0 ULX Mic1,Command,'Connect'
2025-09-03 13:00:14.511885,room0 ULX Mic2,Command,'Connect'
2025-09-03 13:00:15.156572,room0 Video Conferencer,Command,'UpdateIPAddress,None'
2025-09-03 13:00:15.156572,room0 Video Conferencer,API,To Device,'ipaddress get\r\n'
2025-09-03 13:00:16.163495,room0 Video Conferencer,Command,'UpdateVideoContentSource,None'
2025-09-03 13:00:16.163495,room0 Video Conferencer,API,To Device,'vcbutton source get\r'
2025-09-03 13:00:19.310500,room0 MediaPort 1,Command,'Connect'
2025-09-03 13:00:19.388541,room0 MediaPort 2,Command,'Connect'
2025-09-03 13:00:19.682475,room0 Video Switcher,Command,"UpdateVideoMuteDecoder,{'ID': '1'}"
2025-09-03 13:00:20.195544,room0 Video Conferencer,Command,'UpdateIPAddress,None'
2025-09-03 13:00:20.195544,room0 Video Conferencer,API,To Device,'ipaddress get\r\n'
2025-09-03 13:00:20.195544,room0 Video Conferencer,Command,'UpdateVideoContentSource,None'
2025-09-03 13:00:20.195544,room0 Video Conferencer,API,To Device,'vcbutton source get\r'
2025-09-03 13:00:20.690652,room0 Video Switcher,API,To Device,'w3cv\r\n'
2025-09-03 13:00:20.690652,room0 Video Switcher,API,To Device,'{1o:B\r}\r'
2025-09-03 13:00:21.275480,room0 Display13,Command,'Connect'
2025-09-03 13:00:21.579027,room0 Display2,Command,'Connect'
2025-09-03 13:00:21.714629,room0 MediaPort 1,Command,'Connect'
2025-09-03 13:00:21.927674,room0 Display5,Command,'Connect'
2025-09-03 13:00:22.068698,room0 MediaPort 2,Command,'Connect'
2025-09-03 13:00:22.100301,room0 Display1,Command,'Connect'
2025-09-03 13:00:22.146804,room0 Display8,Command,'Connect'
2025-09-03 13:00:22.146804,room0 Display3,Command,'Connect'
2025-09-03 13:00:22.177651,room0 Display4,Command,'Connect'
2025-09-03 13:00:23.974441,room0 Display10,Command,'Connect'
2025-09-03 13:00:24.021341,Annotator,Command,'Connect'
2025-09-03 13:00:24.067917,room0 Display7,Command,'Connect'
2025-09-03 13:00:24.115314,room0 Display9,Command,'Connect'
2025-09-03 13:00:24.223943,room0 Video Conferencer,Command,'UpdateVideoContentSource,None'
2025-09-03 13:00:24.223943,room0 Video Conferencer,API,To Device,'vcbutton source get\r'
2025-09-03 13:00:24.223943,room0 Audio DSP,Command,'Connect'
2025-09-03 13:00:24.347854,room0 Display12,Command,'Connect'
2025-09-03 13:00:24.410076,room0 Display6,Command,'Connect'
2025-09-03 13:00:24.472392,room0 Display11,Command,'Connect'
2025-09-03 13:00:24.518869,room0 Display14,Command,'Connect'
2025-09-03 13:00:24.518869,room0 MediaPort 1,Command,'Connect'
2025-09-03 13:00:24.594685,room0 MediaPort 2,Command,'Connect'
2025-09-03 13:00:24.609837,room0 ULX Mic2,Command,'Connect'
2025-09-03 13:00:24.657763,room0 ULX Mic1,Command,'Connect'
2025-09-03 13:00:25.228359,room0 Video Conferencer,Command,'UpdateIPAddress,None'
2025-09-03 13:00:25.228359,room0 Video Conferencer,API,To Device,'ipaddress get\r\n'
2025-09-03 13:00:25.228359,room0 Video Conferencer,Command,'UpdateRegistration,None'
2025-09-03 13:00:25.228359,room0 Video Conferencer,API,To Device,'callstate get\r'
2025-09-03 13:00:25.228359,room0 Video Conferencer,Command,'UpdateMeetingStatus,None'
2025-09-03 13:00:28.258777,room0 Video Conferencer,Command,'UpdateVideoContentSource,None'
2025-09-03 13:00:28.258777,room0 Video Conferencer,API,To Device,'vcbutton source get\r'
2025-09-03 13:00:29.151380,Annotator,Command,'UpdatePowerSaveMode,None'
2025-09-03 13:00:29.696107,room0 Video Switcher,Command,"UpdateVideoMuteDecoder,{'ID': '1'}"
2025-09-03 13:00:29.696107,room0 MediaPort 1,Command,'Connect'
2025-09-03 13:00:29.758952,room0 MediaPort 2,Command,'Connect'
2025-09-03 13:00:30.283938,room0 Video Conferencer,Command,'UpdateIPAddress,None'
2025-09-03 13:00:30.283938,room0 Video Conferencer,API,To Device,'ipaddress get\r\n'
2025-09-03 13:00:30.705227,room0 Video Switcher,API,To Device,'w3cv\r\n'
2025-09-03 13:00:30.705227,room0 Video Switcher,API,To Device,'{1o:B\r}\r'
2025-09-03 13:00:31.337754,room0 Display13,Command,'Connect'
2025-09-03 13:00:31.645065,room0 Display2,Command,'Connect'
2025-09-03 13:00:31.799361,room0 MediaPort 1,Command,'Connect'
2025-09-03 13:00:32.014356,room0 Display5,Command,'Connect'
2025-09-03 13:00:32.198337,room0 MediaPort 2,Command,'Connect'
2025-09-03 13:00:32.243262,room0 Display1,Command,'Connect'
2025-09-03 13:00:32.289753,room0 Display3,Command,'Connect'
2025-09-03 13:00:32.305465,room0 Video Conferencer,Command,'UpdateVideoContentSource,None'
2025-09-03 13:00:32.305465,room0 Video Conferencer,API,To Device,'vcbutton source get\r'
2025-09-03 13:00:32.338551,room0 Display4,Command,'Connect'
2025-09-03 13:00:32.338551,room0 Display8,Command,'Connect'
2025-09-03 13:00:34.059831,room0 Display10,Command,'Connect'
2025-09-03 13:00:34.105223,Annotator,Command,'Connect'
2025-09-03 13:00:34.151865,room0 Display7,Command,'Connect'
2025-09-03 13:00:34.198267,room0 Display9,Command,'Connect'
2025-09-03 13:00:34.307853,room0 Audio DSP,Command,'Connect'
2025-09-03 13:00:34.418311,room0 Display12,Command,'Connect'
2025-09-03 13:00:34.481284,room0 Display6,Command,'Connect'
2025-09-03 13:00:34.542998,room0 Display11,Command,'Connect'
2025-09-03 13:00:34.635792,room0 Display14,Command,'Connect'
2025-09-03 13:00:34.743340,room0 ULX Mic2,Command,'Connect'
2025-09-03 13:00:34.789551,room0 ULX Mic1,Command,'Connect'
2025-09-03 13:00:34.867545,room0 MediaPort 1,Command,'Connect'
2025-09-03 13:00:34.943942,room0 MediaPort 2,Command,'Connect'
2025-09-03 13:00:35.331771,room0 Video Conferencer,Command,'UpdateIPAddress,None'
2025-09-03 13:00:35.331771,room0 Video Conferencer,API,To Device,'ipaddress get\r\n'
2025-09-03 13:00:36.338112,room0 Video Conferencer,Command,'UpdateVideoContentSource,None'
2025-09-03 13:00:36.338112,room0 Video Conferencer,API,To Device,'vcbutton source get\r'
2025-09-03 13:00:39.710476,room0 Video Switcher,Command,"UpdateVideoMuteDecoder,{'ID': '1'}"
2025-09-03 13:00:40.049467,room0 MediaPort 1,Command,'Connect'
2025-09-03 13:00:40.112842,room0 MediaPort 2,Command,'Connect'
2025-09-03 13:00:40.377624,room0 Video Conferencer,Command,'UpdateIPAddress,None'
2025-09-03 13:00:40.377624,room0 Video Conferencer,API,To Device,'ipaddress get\r\n'
2025-09-03 13:00:40.377624,room0 Video Conferencer,Command,'UpdateVideoContentSource,None'
2025-09-03 13:00:40.377624,room0 Video Conferencer,API,To Device,'vcbutton source get\r'
2025-09-03 13:00:40.378630,room0 Video Conferencer,Command,'UpdateRegistration,None'
2025-09-03 13:00:40.378630,room0 Video Conferencer,API,To Device,'callstate get\r'
2025-09-03 13:00:40.378630,room0 Video Conferencer,Command,'UpdateMeetingStatus,None'
2025-09-03 13:00:40.378630,room0 Video Conferencer,Command,'UpdateCalendarStatus,None'
2025-09-03 13:00:40.378630,room0 Video Conferencer,API,To Device,'calendarstatus get\r'
