Timestamp,Device Name,MessageType,Data
2025-08-29 16:59:47.397530,room0 MediaPort 1,Command,'Connect'
2025-08-29 16:59:56.923354,Annotator,Command,'UpdatePowerSaveMode,None'
2025-08-29 17:00:02.421419,Annotator,Command,'Connect'
2025-08-29 17:00:12.464418,room0 MediaPort 2,Command,'Connect'
2025-08-29 17:00:18.433618,room0 MediaPort 1,Command,'Connect'
2025-08-29 17:00:26.944807,Annotator,Command,'UpdatePowerSaveMode,None'
2025-08-29 17:00:33.468937,Annotator,Command,'Connect'
2025-08-29 17:00:43.506271,room0 MediaPort 2,Command,'Connect'Timestamp,Device Name,MessageType,Data
2025-08-29 17:00:49.480401,room0 MediaPort 1,Command,'Connect'
2025-08-29 17:00:56.959857,Annotator,Command,'UpdatePowerSaveMode,None'
2025-08-29 17:01:04.536425,Annotator,Command,'Connect'
2025-08-29 17:01:14.568339,room0 MediaPort 2,Command,'Connect'
2025-08-29 17:01:20.519578,room0 MediaPort 1,Command,'Connect'
2025-08-29 17:01:26.993174,Annotator,Command,'UpdatePowerSaveMode,None'
2025-08-29 17:01:35.558108,Annotator,Command,'Connect'
2025-08-29 17:01:45.615819,room0 MediaPort 2,Command,'Connect'Timestamp,Device Name,MessageType,Data
2025-08-29 17:06:17.998787,room0 Primary Processor,Option,'PrintToTrace,True'
2025-08-29 17:06:18.009294,room0 MediaPort 1,Option,'PrintToTrace,True'
2025-08-29 17:06:18.010298,room0 MediaPort 1,Event,'ConnectionStatus,Disconnected,None'
2025-08-29 17:06:18.011298,room0 MediaPort 2,Option,'PrintToTrace,True'
2025-08-29 17:06:18.012298,room0 MediaPort 2,Event,'ConnectionStatus,Disconnected,None'
2025-08-29 17:06:18.015298,room0 Main Virtual Panel,Option,'PrintToTrace,True'
2025-08-29 17:06:18.015298,room0 MediaPort 1,Command,'Connect'
2025-08-29 17:06:18.016298,room0 Nav Virtual Panel1,Option,'PrintToTrace,True'
2025-08-29 17:06:18.016298,room0 Nav Virtual Panel2,Option,'PrintToTrace,True'
2025-08-29 17:06:18.017297,room0 Nav Virtual Panel Lectern,Option,'PrintToTrace,True'
2025-08-29 17:06:18.018298,room0 Nav Virtual Panel Wall,Option,'PrintToTrace,True'
2025-08-29 17:06:28.015772,room0 MediaPort 1,Command,'Connect'
2025-08-29 17:06:34.057842,room0 Main Touch Panel1,Option,'PrintToTrace,True'
2025-08-29 17:06:39.074983,room0 MediaPort 2,Command,'Connect'
2025-08-29 17:06:48.029074,room0 MediaPort 2,Command,'Connect'
2025-08-29 17:06:49.327250,room0 Main Touch Panel1,Event,'DisplayStateChanged,Unavailable'
2025-08-29 17:06:49.327250,room0 Main Touch Panel1,Event,'DisplayTimerChanged,Unavailable'
2025-08-29 17:06:49.327250,room0 Main Touch Panel1,Event,'DisplayTimerEnabledChanged,Unavailable'
2025-08-29 17:06:49.327250,room0 Main Touch Panel1,Event,'InactivityTime,0'
2025-08-29 17:06:49.327250,room0 Main Touch Panel1,Event,'LightDetectedStateChanged,Unavailable'
2025-08-29 17:06:49.327250,room0 Main Touch Panel1,Event,'SleepTimerChanged,Unavailable'
2025-08-29 17:06:49.327250,room0 Main Touch Panel1,Event,'SleepTimerEnabledChanged,Unavailable'
2025-08-29 17:06:50.069030,room0 Main Touch Panel2,Option,'PrintToTrace,True'
2025-08-29 17:06:59.052867,room0 MediaPort 1,Command,'Connect'
2025-08-29 17:07:05.392197,room0 Main Touch Panel2,Event,'DisplayStateChanged,Unavailable'
2025-08-29 17:07:05.392197,room0 Main Touch Panel2,Event,'DisplayTimerChanged,Unavailable'
2025-08-29 17:07:05.392197,room0 Main Touch Panel2,Event,'DisplayTimerEnabledChanged,Unavailable'
2025-08-29 17:07:05.393385,room0 Main Touch Panel2,Event,'InactivityTime,0'
2025-08-29 17:07:05.393385,room0 Main Touch Panel2,Event,'LightDetectedStateChanged,Unavailable'
2025-08-29 17:07:05.393385,room0 Main Touch Panel2,Event,'SleepTimerChanged,Unavailable'
2025-08-29 17:07:05.393385,room0 Main Touch Panel2,Event,'SleepTimerEnabledChanged,Unavailable'
2025-08-29 17:07:05.426885,room0 Main Touch Panel3,Option,'PrintToTrace,True'
2025-08-29 17:07:19.056654,room0 MediaPort 2,Command,'Connect'Timestamp,Device Name,MessageType,Data
2025-08-29 17:07:20.581749,room0 Main Touch Panel4,Option,'PrintToTrace,True'
2025-08-29 17:07:20.743087,room0 Main Touch Panel3,Event,'DisplayStateChanged,Unavailable'
2025-08-29 17:07:20.743087,room0 Main Touch Panel3,Event,'DisplayTimerChanged,Unavailable'
2025-08-29 17:07:20.743087,room0 Main Touch Panel3,Event,'DisplayTimerEnabledChanged,Unavailable'
2025-08-29 17:07:20.743087,room0 Main Touch Panel3,Event,'InactivityTime,0'
2025-08-29 17:07:20.745891,room0 Main Touch Panel3,Event,'LightDetectedStateChanged,Unavailable'
2025-08-29 17:07:20.745891,room0 Main Touch Panel3,Event,'SleepTimerChanged,Unavailable'
2025-08-29 17:07:20.746711,room0 Main Touch Panel3,Event,'SleepTimerEnabledChanged,Unavailable'
2025-08-29 17:07:30.080890,room0 MediaPort 1,Command,'Connect'
2025-08-29 17:07:35.743000,room0 Main Touch Panel5,Option,'PrintToTrace,True'
2025-08-29 17:07:35.747019,room0 Main Virtual Panel,Command,'AddPanel,Panel0_1'
2025-08-29 17:07:35.747019,room0 Nav Virtual Panel1,Command,'AddPanel,Panel0_1'
2025-08-29 17:07:35.747019,room0 Main Virtual Panel,Command,'AddPanel,Panel0_2'
2025-08-29 17:07:35.747999,room0 Nav Virtual Panel2,Command,'AddPanel,Panel0_2'
2025-08-29 17:07:35.747999,room0 Main Virtual Panel,Command,'AddPanel,Panel0_3'
2025-08-29 17:07:35.747999,room0 Nav Virtual Panel Lectern,Command,'AddPanel,Panel0_3'
2025-08-29 17:07:35.747999,room0 Main Virtual Panel,Command,'AddPanel,Panel0_4'
2025-08-29 17:07:35.747999,room0 Nav Virtual Panel Wall,Command,'AddPanel,Panel0_4'
2025-08-29 17:07:35.747999,room0 Main Virtual Panel,Command,'AddPanel,Panel0_5'
2025-08-29 17:07:35.747999,room0 Nav Virtual Panel Wall,Command,'AddPanel,Panel0_5'
2025-08-29 17:07:35.909706,room0 Main Touch Panel4,Event,'DisplayStateChanged,Unavailable'
2025-08-29 17:07:35.909706,room0 Main Touch Panel4,Event,'DisplayTimerChanged,Unavailable'
2025-08-29 17:07:35.909706,room0 Main Touch Panel4,Event,'DisplayTimerEnabledChanged,Unavailable'
2025-08-29 17:07:35.910707,room0 Main Touch Panel4,Event,'InactivityTime,0'
2025-08-29 17:07:35.910707,room0 Main Touch Panel4,Event,'LightDetectedStateChanged,Unavailable'
2025-08-29 17:07:35.910707,room0 Main Touch Panel4,Event,'SleepTimerChanged,Unavailable'
2025-08-29 17:07:35.911704,room0 Main Touch Panel4,Event,'SleepTimerEnabledChanged,Unavailable'
2025-08-29 17:07:44.849971,room0 Video Conferencer Host,Option,'PrintToTrace,True'
2025-08-29 17:07:47.899746,room0 Video Conferencer,Option,'PrintToTrace,True'
2025-08-29 17:07:47.900747,room0 Video Conferencer,Event,'ConnectionStatus,Disconnected,None'
2025-08-29 17:07:50.104693,room0 MediaPort 2,Command,'Connect'
2025-08-29 17:07:51.073626,room0 Main Touch Panel5,Event,'DisplayStateChanged,Unavailable'
2025-08-29 17:07:51.074630,room0 Main Touch Panel5,Event,'DisplayTimerChanged,Unavailable'
2025-08-29 17:07:51.075646,room0 Main Touch Panel5,Event,'DisplayTimerEnabledChanged,Unavailable'
2025-08-29 17:07:51.075646,room0 Main Touch Panel5,Event,'InactivityTime,0'
2025-08-29 17:07:51.075646,room0 Main Touch Panel5,Event,'LightDetectedStateChanged,Unavailable'
2025-08-29 17:07:51.075646,room0 Main Touch Panel5,Event,'SleepTimerChanged,Unavailable'
2025-08-29 17:07:51.075646,room0 Main Touch Panel5,Event,'SleepTimerEnabledChanged,Unavailable'
2025-08-29 17:07:56.990755,room0 Video Switcher Device NAV,Option,'PrintToTrace,True'
2025-08-29 17:07:57.033153,room0 Video Switcher,Option,'PrintToTrace,True'
2025-08-29 17:07:57.034178,room0 Video Switcher,Event,'ConnectionStatus,Disconnected,None'
2025-08-29 17:07:57.038178,room0 Audio DSP,Option,'PrintToTrace,True'
2025-08-29 17:07:57.038178,room0 Audio DSP,Event,'ConnectionStatus,Disconnected,None'
2025-08-29 17:07:57.043956,room0 Display1,Option,'PrintToTrace,True'
2025-08-29 17:07:57.045175,room0 Display1,Event,'ConnectionStatus,Disconnected,None'
