Timestamp,Device Name,MessageType,Data
2025-09-03 07:59:34.788840,Annotator,Command,'Disconnect'
2025-09-03 07:59:34.789841,Annotator,Event,'ConnectionStatus,Connected,None'
2025-09-03 07:59:43.740767,Annotator,Command,'UpdatePowerSaveMode,None'
2025-09-03 08:00:03.176207,room0 Main Virtual Panel,Command,'SetStateButton,14614,None,0'
2025-09-03 08:00:03.191696,room0 Main Virtual Panel,Command,'SetVisible,Button,4414,None,False'
2025-09-03 08:00:03.345753,room0 Main Virtual Panel,Command,'SetVisible,Button,4415,None,False'
2025-09-03 08:00:03.345753,room0 Main Virtual Panel,Command,'SetStateButton,14615,None,0'
2025-09-03 08:00:03.345753,room0 Main Virtual Panel,Command,'SetStateButton,5013,None,0'
2025-09-03 08:00:03.503735,room0 Main Virtual Panel,Command,'SetVisible,Button,4416,None,False'
2025-09-03 08:00:03.503735,room0 Main Virtual Panel,Command,'SetStateButton,14616,None,0'
2025-09-03 08:00:03.503735,room0 Main Virtual Panel,Command,'SetStateButton,5014,None,0'
2025-09-03 08:00:03.627918,room0 Main Virtual Panel,Command,'SetStateButton,14617,None,0'
2025-09-03 08:00:03.627918,room0 Main Virtual Panel,Command,'SetVisible,Button,4417,None,False'
2025-09-03 08:00:03.643917,room0 Main Virtual Panel,Command,'SetStateButton,5015,None,0'
2025-09-03 08:00:03.784012,room0 Main Virtual Panel,Command,'SetStateButton,14618,None,0'
2025-09-03 08:00:03.800891,room0 Main Virtual Panel,Command,'SetStateButton,5016,None,0'
2025-09-03 08:00:03.800891,room0 Main Virtual Panel,Command,'SetVisible,Button,4418,None,False'
2025-09-03 08:00:03.940627,room0 Main Virtual Panel,Command,'SetStateButton,5017,None,0'
2025-09-03 08:00:03.940627,room0 Main Virtual Panel,Command,'SetVisible,Button,4419,None,False'
2025-09-03 08:00:03.940627,room0 Main Virtual Panel,Command,'SetStateButton,14619,None,0'
2025-09-03 08:00:04.064900,room0 Main Virtual Panel,Command,'SetStateButton,5018,None,0'
2025-09-03 08:00:04.080639,room0 Main Virtual Panel,Command,'SetVisible,Button,4420,None,False'
2025-09-03 08:00:04.095905,room0 Main Virtual Panel,Command,'SetStateButton,14620,None,0'
2025-09-03 08:00:04.255050,room0 MediaPort 1,Event,'ConnectionStatus,Connected,None'
2025-09-03 08:00:04.255050,room0 MediaPort 2,Event,'ConnectionStatus,Connected,None'
2025-09-03 08:00:04.268105,room0 Main Virtual Panel,Command,'SetVisible,Button,4421,None,False'
2025-09-03 08:00:04.268105,room0 Main Virtual Panel,Command,'SetStateButton,5019,None,0'
2025-09-03 08:00:04.283640,room0 Main Virtual Panel,Command,'SetStateButton,14621,None,0'
2025-09-03 08:00:04.348572,room0 MediaPort 2,Event,'ConnectionStatus,Disconnected,None'
2025-09-03 08:00:04.348572,room0 Main Virtual Panel,Command,'SetText,Label,9046,,Disconnected'
2025-09-03 08:00:04.364670,room0 MediaPort 1,Event,'ConnectionStatus,Disconnected,None'
2025-09-03 08:00:04.364670,room0 Main Virtual Panel,Command,'SetText,Label,9045,,Disconnected'
2025-09-03 08:00:04.423822,room0 Main Virtual Panel,Command,'SetText,Label,9046,None,Connected'
