Timestamp,Device Name,MessageType,Data
2025-08-28 14:15:22.520622,Processor,Option,'PrintToTrace,True'
2025-08-28 14:15:22.550150,iPad,Option,'PrintToTrace,True'
2025-08-28 14:15:22.592990,Phone,Option,'PrintToTrace,True'
2025-08-28 14:15:22.594314,MainTP,Option,'PrintToTrace,True'
2025-08-28 14:15:22.594314,MainTP,Command,'AddPanel,panel0'
2025-08-28 14:15:22.594314,MainTP,Command,'AddPanel,panel1'
2025-08-28 14:15:22.606559,AVR,Option,'PrintToTrace,True'
2025-08-28 14:15:22.607266,Projector,Option,'PrintToTrace,True'
2025-08-28 14:15:22.608270,Projector,Event,'ConnectionStatus,Disconnected,None'
2025-08-28 14:15:23.237394,MainTP,Command,'HideAllPopups'
2025-08-28 14:15:23.237394,MainTP,Command,'ShowPage,Start Page'
2025-08-28 14:15:36.130072,Projector,Command,'Connect'
2025-08-28 14:15:36.359360,Projector,Event,'ConnectionStatus,Connected,None'
2025-08-28 14:15:36.443648,MainTP,Command,'SetText,Label,100,lbl_projector,Projector\nStatus'
2025-08-28 14:15:43.429880,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-28 14:15:46.454869,Projector,Command,'UpdatePower,None'
2025-08-28 14:15:46.454869,Projector,API,To Device,'~00150 1\r'
2025-08-28 14:15:46.932009,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-28 14:15:46.936095,Projector,Event,'Power,Off,None'
2025-08-28 14:15:47.020459,MainTP,Command,'SetStateButton,101,btn_projector,0'
2025-08-28 14:15:47.020459,MainTP,Command,'SetTextButton,101,btn_projector,Off'
2025-08-28 14:15:47.020459,MainTP,Command,'ShowPage,Start Page'
2025-08-28 14:15:47.020459,MainTP,Command,'HideAllPopups'
2025-08-28 14:15:47.020459,Projector,Event,'Input,None,None'
2025-08-28 14:15:47.020459,Projector,Event,'DisplayMode,None,None'
2025-08-28 14:15:53.821157,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-28 14:15:57.027267,Projector,Command,'UpdatePower,None'
2025-08-28 14:15:57.027267,Projector,API,To Device,'~00150 1\r'
2025-08-28 14:15:57.491880,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-28 14:16:04.127378,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-28 14:16:07.512396,Projector,Command,'UpdatePower,None'
2025-08-28 14:16:07.512396,Projector,API,To Device,'~00150 1\r'
2025-08-28 14:16:07.907336,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-28 14:16:15.127517,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-28 14:16:17.917672,Projector,Command,'UpdatePower,None'
2025-08-28 14:16:17.917672,Projector,API,To Device,'~00150 1\r'
2025-08-28 14:16:18.275050,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-28 14:16:25.816209,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"Timestamp,Device Name,MessageType,Data
2025-08-28 14:16:28.288802,Projector,Command,'UpdatePower,None'
2025-08-28 14:16:28.288802,Projector,API,To Device,'~00150 1\r'
2025-08-28 14:16:28.454450,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-28 14:16:36.156896,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-28 14:16:38.473905,Projector,Command,'UpdatePower,None'
2025-08-28 14:16:38.473905,Projector,API,To Device,'~00150 1\r'
2025-08-28 14:16:38.801579,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-28 14:16:46.436832,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-28 14:16:48.809175,Projector,Command,'UpdatePower,None'
2025-08-28 14:16:48.809175,Projector,API,To Device,'~00150 1\r'
2025-08-28 14:16:49.077915,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-28 14:16:56.957099,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-28 14:16:59.082520,Projector,Command,'UpdatePower,None'
2025-08-28 14:16:59.082520,Projector,API,To Device,'~00150 1\r'
2025-08-28 14:16:59.439102,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-28 14:17:07.404380,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-28 14:17:09.459671,Projector,Command,'UpdatePower,None'
2025-08-28 14:17:09.459671,Projector,API,To Device,'~00150 1\r'
2025-08-28 14:17:09.594970,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-28 14:17:18.223405,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-28 14:17:19.609301,Projector,Command,'UpdatePower,None'
2025-08-28 14:17:19.609301,Projector,API,To Device,'~00150 1\r'
2025-08-28 14:17:20.034883,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-28 14:17:28.912630,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"Timestamp,Device Name,MessageType,Data
2025-08-28 14:17:30.056278,Projector,Command,'UpdatePower,None'
2025-08-28 14:17:30.056278,Projector,API,To Device,'~00150 1\r'
2025-08-28 14:17:30.306772,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-28 14:17:39.311438,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-28 14:17:40.318420,Projector,Command,'UpdatePower,None'
2025-08-28 14:17:40.318420,Projector,API,To Device,'~00150 1\r'
2025-08-28 14:17:40.371705,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-28 14:17:49.677118,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-28 14:17:50.384945,Projector,Command,'UpdatePower,None'
2025-08-28 14:17:50.384945,Projector,API,To Device,'~00150 1\r'
2025-08-28 14:17:50.470791,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-28 14:18:00.234496,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-28 14:18:00.489057,Projector,Command,'UpdatePower,None'
2025-08-28 14:18:00.489057,Projector,API,To Device,'~00150 1\r'
2025-08-28 14:18:00.561027,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-28 14:18:10.438730,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-28 14:18:10.574017,Projector,Command,'UpdatePower,None'
2025-08-28 14:18:10.574017,Projector,API,To Device,'~00150 1\r'
2025-08-28 14:18:10.857097,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-28 14:18:20.878744,Projector,Command,'UpdatePower,None'
2025-08-28 14:18:20.878744,Projector,API,To Device,'~00150 1\r'
2025-08-28 14:18:21.229736,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-28 14:18:21.321779,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-28 14:18:31.248538,Projector,Command,'UpdatePower,None'Timestamp,Device Name,MessageType,Data
2025-08-28 14:18:31.248538,Projector,API,To Device,'~00150 1\r'
2025-08-28 14:18:31.582631,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-28 14:18:32.381476,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-28 14:18:41.596533,Projector,Command,'UpdatePower,None'
2025-08-28 14:18:41.596533,Projector,API,To Device,'~00150 1\r'
