Timestamp,Device Name,MessageType,Data
2025-08-26 09:59:20.381422,Projector,API,To Device,'~00150 1\r'
2025-08-26 09:59:20.741294,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 09:59:26.305186,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 09:59:30.757236,Projector,Command,'UpdatePower,None'
2025-08-26 09:59:30.757236,Projector,API,To Device,'~00150 1\r'
2025-08-26 09:59:30.837455,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 09:59:36.764802,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 09:59:40.840212,Projector,Command,'UpdatePower,None'
2025-08-26 09:59:40.840212,Projector,API,To Device,'~00150 1\r'
2025-08-26 09:59:40.974453,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 09:59:47.024786,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 09:59:50.988270,Projector,Command,'UpdatePower,None'
2025-08-26 09:59:50.988270,Projector,API,To Device,'~00150 1\r'
2025-08-26 09:59:51.440922,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 09:59:57.572766,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 10:00:01.464797,Projector,Command,'UpdatePower,None'
2025-08-26 10:00:01.464797,Projector,API,To Device,'~00150 1\r'
2025-08-26 10:00:01.765314,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 10:00:08.864541,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 10:00:11.790741,Projector,Command,'UpdatePower,None'
2025-08-26 10:00:11.790741,Projector,API,To Device,'~00150 1\r'
2025-08-26 10:00:12.097439,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 10:00:19.252027,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"Timestamp,Device Name,MessageType,Data
2025-08-26 10:00:22.124968,Projector,Command,'UpdatePower,None'
2025-08-26 10:00:22.124968,Projector,API,To Device,'~00150 1\r'
2025-08-26 10:00:22.392927,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 10:00:29.599369,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 10:00:32.403540,Projector,Command,'UpdatePower,None'
2025-08-26 10:00:32.403540,Projector,API,To Device,'~00150 1\r'
2025-08-26 10:00:32.568224,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 10:00:40.025894,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 10:00:42.579803,Projector,Command,'UpdatePower,None'
2025-08-26 10:00:42.579803,Projector,API,To Device,'~00150 1\r'
2025-08-26 10:00:42.816064,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 10:00:50.883247,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 10:00:52.832514,Projector,Command,'UpdatePower,None'
2025-08-26 10:00:52.832514,Projector,API,To Device,'~00150 1\r'
2025-08-26 10:00:52.914281,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 10:01:00.894518,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 10:01:02.929547,Projector,Command,'UpdatePower,None'
2025-08-26 10:01:02.929547,Projector,API,To Device,'~00150 1\r'
2025-08-26 10:01:03.102418,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 10:01:11.666318,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 10:01:13.115601,Projector,Command,'UpdatePower,None'
2025-08-26 10:01:13.115601,Projector,API,To Device,'~00150 1\r'
2025-08-26 10:01:13.208947,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 10:01:22.563245,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"Timestamp,Device Name,MessageType,Data
2025-08-26 10:01:23.225735,Projector,Command,'UpdatePower,None'
2025-08-26 10:01:23.226744,Projector,API,To Device,'~00150 1\r'
2025-08-26 10:01:23.568878,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 10:01:32.850294,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 10:01:33.591027,Projector,Command,'UpdatePower,None'
2025-08-26 10:01:33.591027,Projector,API,To Device,'~00150 1\r'
2025-08-26 10:01:33.916711,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 10:01:43.296856,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 10:01:43.926621,Projector,Command,'UpdatePower,None'
2025-08-26 10:01:43.926621,Projector,API,To Device,'~00150 1\r'
2025-08-26 10:01:44.199417,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 10:01:53.536383,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 10:01:54.212231,Projector,Command,'UpdatePower,None'
2025-08-26 10:01:54.213232,Projector,API,To Device,'~00150 1\r'
2025-08-26 10:01:54.499980,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 10:02:04.070444,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 10:02:04.525928,Projector,Command,'UpdatePower,None'
2025-08-26 10:02:04.525928,Projector,API,To Device,'~00150 1\r'
2025-08-26 10:02:04.848354,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 10:02:14.822827,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 10:02:14.870021,Projector,Command,'UpdatePower,None'
2025-08-26 10:02:14.870021,Projector,API,To Device,'~00150 1\r'
2025-08-26 10:02:15.110889,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
