Timestamp,Device Name,MessageType,Data
2025-08-26 10:59:24.115353,Projector,Command,'UpdatePower,None'
2025-08-26 10:59:24.116671,Projector,API,To Device,'~00150 1\r'
2025-08-26 10:59:24.485060,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 10:59:32.059114,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 10:59:34.496971,Projector,Command,'UpdatePower,None'
2025-08-26 10:59:34.497976,Projector,API,To Device,'~00150 1\r'
2025-08-26 10:59:34.815827,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 10:59:42.558087,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 10:59:44.836086,Projector,Command,'UpdatePower,None'
2025-08-26 10:59:44.836086,Projector,API,To Device,'~00150 1\r'
2025-08-26 10:59:44.935675,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 10:59:52.879829,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 10:59:54.958000,Projector,Command,'UpdatePower,None'
2025-08-26 10:59:54.958000,Projector,API,To Device,'~00150 1\r'
2025-08-26 10:59:55.117730,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 11:00:03.234627,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 11:00:05.142455,Projector,Command,'UpdatePower,None'
2025-08-26 11:00:05.143455,Projector,API,To Device,'~00150 1\r'
2025-08-26 11:00:05.456103,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 11:00:14.179074,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 11:00:15.480424,Projector,Command,'UpdatePower,None'
2025-08-26 11:00:15.480424,Projector,API,To Device,'~00150 1\r'
2025-08-26 11:00:15.829586,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 11:00:24.879518,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"Timestamp,Device Name,MessageType,Data
2025-08-26 11:00:25.849798,Projector,Command,'UpdatePower,None'
2025-08-26 11:00:25.850798,Projector,API,To Device,'~00150 1\r'
2025-08-26 11:00:26.185595,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 11:00:35.359683,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 11:00:36.195727,Projector,Command,'UpdatePower,None'
2025-08-26 11:00:36.195727,Projector,API,To Device,'~00150 1\r'
2025-08-26 11:00:36.712773,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 11:00:45.764356,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 11:00:46.729918,Projector,Command,'UpdatePower,None'
2025-08-26 11:00:46.729918,Projector,API,To Device,'~00150 1\r'
2025-08-26 11:00:46.915607,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 11:00:56.181609,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 11:00:56.932928,Projector,Command,'UpdatePower,None'
2025-08-26 11:00:56.932928,Projector,API,To Device,'~00150 1\r'
2025-08-26 11:00:57.067119,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 11:01:06.594314,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 11:01:07.095531,Projector,Command,'UpdatePower,None'
2025-08-26 11:01:07.095531,Projector,API,To Device,'~00150 1\r'
2025-08-26 11:01:07.287395,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 11:01:17.312402,Projector,Command,'UpdatePower,None'
2025-08-26 11:01:17.313406,Projector,API,To Device,'~00150 1\r'
2025-08-26 11:01:17.407218,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 11:01:17.648761,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 11:01:27.434201,Projector,Command,'UpdatePower,None'Timestamp,Device Name,MessageType,Data
2025-08-26 11:01:27.434201,Projector,API,To Device,'~00150 1\r'
2025-08-26 11:01:27.775314,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 11:01:28.206128,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 11:01:37.778862,Projector,Command,'UpdatePower,None'
2025-08-26 11:01:37.778862,Projector,API,To Device,'~00150 1\r'
2025-08-26 11:01:38.083410,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 11:01:38.665028,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 11:01:48.112674,Projector,Command,'UpdatePower,None'
2025-08-26 11:01:48.112674,Projector,API,To Device,'~00150 1\r'
2025-08-26 11:01:48.338440,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 11:01:48.903634,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
