Timestamp,Device Name,MessageType,Data
2025-08-26 08:33:54.574234,Processor,Option,'PrintToTrace,True'
2025-08-26 08:33:54.591472,iPad,Option,'PrintToTrace,True'
2025-08-26 08:33:54.606781,Phone,Option,'PrintToTrace,True'
2025-08-26 08:33:54.608780,MainTP,Option,'PrintToTrace,True'
2025-08-26 08:33:54.609781,MainTP,Command,'AddPanel,panel0'
2025-08-26 08:33:54.609781,MainTP,Command,'AddPanel,panel1'
2025-08-26 08:33:54.636855,AVR,Option,'PrintToTrace,True'
2025-08-26 08:33:54.637854,Projector,Option,'PrintToTrace,True'
2025-08-26 08:33:54.638872,Projector,Event,'ConnectionStatus,Disconnected,None'
2025-08-26 08:33:55.084103,MainTP,Command,'HideAllPopups'
2025-08-26 08:33:55.084103,MainTP,Command,'ShowPage,Start Page'
2025-08-26 08:34:05.110178,Projector,Command,'Connect'
2025-08-26 08:34:05.199855,Projector,Event,'ConnectionStatus,Connected,None'
2025-08-26 08:34:05.325148,MainTP,Command,'SetText,Label,100,lbl_projector,Projector\nStatus'
2025-08-26 08:34:06.217677,Projector,Event,'ConnectionStatus,Disconnected,None'
2025-08-26 08:34:06.217677,MainTP,Command,'SetText,Label,100,lbl_projector,Disconnected'
2025-08-26 08:34:06.218678,Projector,Event,'ConnectionStatus,Connected,None'
2025-08-26 08:34:06.218678,MainTP,Command,'SetText,Label,100,lbl_projector,Projector\nStatus'
2025-08-26 08:34:11.226311,Projector,Command,'UpdatePower,None'
2025-08-26 08:34:11.226311,Projector,API,To Device,'~00150 1\r'
2025-08-26 08:34:11.227306,Projector,API,From Device,''
2025-08-26 08:34:21.252389,Projector,Command,'UpdatePower,None'
2025-08-26 08:34:21.252389,Projector,API,To Device,'~00150 1\r'
2025-08-26 08:34:21.252389,Projector,API,From Device,''
2025-08-26 08:34:31.271498,Projector,Command,'UpdatePower,None'
2025-08-26 08:34:31.271498,Projector,API,To Device,'~00150 1\r'
2025-08-26 08:34:31.271498,Projector,API,From Device,''
2025-08-26 08:34:41.289767,Projector,Command,'UpdatePower,None'
2025-08-26 08:34:41.289767,Projector,API,To Device,'~00150 1\r'
2025-08-26 08:34:41.289767,Projector,API,From Device,''
2025-08-26 08:34:51.310535,Projector,Command,'UpdatePower,None'
2025-08-26 08:34:51.310535,Projector,API,To Device,'~00150 1\r'
2025-08-26 08:34:51.310535,Projector,API,From Device,''
2025-08-26 08:35:01.318838,Projector,Command,'UpdatePower,None'Timestamp,Device Name,MessageType,Data
2025-08-26 08:35:01.320121,Projector,API,To Device,'~00150 1\r'
2025-08-26 08:35:01.320121,Projector,API,From Device,''
2025-08-26 08:35:11.341833,Projector,Command,'UpdatePower,None'
2025-08-26 08:35:11.342854,Projector,API,To Device,'~00150 1\r'
2025-08-26 08:35:11.342854,Projector,API,From Device,''
2025-08-26 08:35:21.364342,Projector,Command,'UpdatePower,None'
2025-08-26 08:35:21.364342,Projector,API,To Device,'~00150 1\r'
2025-08-26 08:35:21.364342,Projector,API,From Device,''
2025-08-26 08:35:31.389331,Projector,Command,'UpdatePower,None'
2025-08-26 08:35:31.389331,Projector,API,To Device,'~00150 1\r'
2025-08-26 08:35:31.389331,Projector,API,From Device,''
2025-08-26 08:35:41.409248,Projector,Command,'UpdatePower,None'
2025-08-26 08:35:41.410245,Projector,API,To Device,'~00150 1\r'
2025-08-26 08:35:41.410245,Projector,API,From Device,''
2025-08-26 08:35:51.434480,Projector,Command,'UpdatePower,None'
2025-08-26 08:35:51.434480,Projector,API,To Device,'~00150 1\r'
2025-08-26 08:35:51.434480,Projector,API,From Device,''
2025-08-26 08:36:01.453734,Projector,Command,'UpdatePower,None'Timestamp,Device Name,MessageType,Data
2025-08-26 08:45:29.642392,Processor,Option,'PrintToTrace,True'
2025-08-26 08:45:44.777907,iPad,Option,'PrintToTrace,True'
