Timestamp,Device Name,MessageType,Data
2025-08-26 15:08:36.471217,Processor,Option,'PrintToTrace,True'
2025-08-26 15:08:36.487940,iPad,Option,'PrintToTrace,True'
2025-08-26 15:08:36.513856,Phone,Option,'PrintToTrace,True'
2025-08-26 15:08:36.516575,MainTP,Option,'PrintToTrace,True'
2025-08-26 15:08:36.516575,MainTP,Command,'AddPanel,panel0'
2025-08-26 15:08:36.516575,MainTP,Command,'AddPanel,panel1'
2025-08-26 15:08:36.527394,AVR,Option,'PrintToTrace,True'
2025-08-26 15:08:36.528387,Projector,Option,'PrintToTrace,True'
2025-08-26 15:08:36.529386,Projector,Event,'ConnectionStatus,Disconnected,None'
2025-08-26 15:08:37.035217,MainTP,Command,'HideAllPopups'
2025-08-26 15:08:37.035217,MainTP,Command,'ShowPage,Start Page'
2025-08-26 15:08:47.046696,Projector,Command,'Connect'
2025-08-26 15:08:47.312611,Projector,Event,'ConnectionStatus,Connected,None'
2025-08-26 15:08:47.434058,MainTP,Command,'SetText,Label,100,lbl_projector,Projector\nStatus'
2025-08-26 15:08:57.441898,Projector,Command,'UpdatePower,None'
2025-08-26 15:08:57.441898,Projector,API,To Device,'~00150 1\r'
2025-08-26 15:08:57.741907,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 15:08:57.741907,Projector,Event,'Power,Off,None'
2025-08-26 15:08:57.830159,MainTP,Command,'SetStateButton,101,btn_projector,0'
2025-08-26 15:08:57.830159,MainTP,Command,'SetTextButton,101,btn_projector,Off'
2025-08-26 15:08:57.830159,MainTP,Command,'ShowPage,Start Page'
2025-08-26 15:08:57.830159,MainTP,Command,'HideAllPopups'
2025-08-26 15:08:57.830159,Projector,Event,'Input,None,None'
2025-08-26 15:08:57.830159,Projector,Event,'DisplayMode,None,None'
2025-08-26 15:09:07.844453,Projector,Command,'UpdatePower,None'
2025-08-26 15:09:07.844453,Projector,API,To Device,'~00150 1\r'
2025-08-26 15:09:07.917987,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 15:09:17.929887,Projector,Command,'UpdatePower,None'
2025-08-26 15:09:17.929887,Projector,API,To Device,'~00150 1\r'
2025-08-26 15:09:18.147217,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 15:09:28.177653,Projector,Command,'UpdatePower,None'
2025-08-26 15:09:28.178649,Projector,API,To Device,'~00150 1\r'
2025-08-26 15:09:28.342843,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 15:09:38.362823,Projector,Command,'UpdatePower,None'Timestamp,Device Name,MessageType,Data
2025-08-26 15:09:38.362823,Projector,API,To Device,'~00150 1\r'
2025-08-26 15:09:38.664092,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 15:09:48.682694,Projector,Command,'UpdatePower,None'
2025-08-26 15:09:48.682694,Projector,API,To Device,'~00150 1\r'
2025-08-26 15:09:49.111760,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 15:09:59.130757,Projector,Command,'UpdatePower,None'
2025-08-26 15:09:59.130757,Projector,API,To Device,'~00150 1\r'
2025-08-26 15:09:59.415440,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 15:10:09.429285,Projector,Command,'UpdatePower,None'
2025-08-26 15:10:09.429285,Projector,API,To Device,'~00150 1\r'
2025-08-26 15:10:09.748265,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 15:10:19.766973,Projector,Command,'UpdatePower,None'
2025-08-26 15:10:19.766973,Projector,API,To Device,'~00150 1\r'
2025-08-26 15:10:19.935708,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 15:10:29.949572,Projector,Command,'UpdatePower,None'
2025-08-26 15:10:29.949572,Projector,API,To Device,'~00150 1\r'
2025-08-26 15:10:30.090881,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 15:10:40.099110,Projector,Command,'UpdatePower,None'Timestamp,Device Name,MessageType,Data
2025-08-26 15:10:40.099110,Projector,API,To Device,'~00150 1\r'
2025-08-26 15:10:40.370354,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 15:10:50.391264,Projector,Command,'UpdatePower,None'
2025-08-26 15:10:50.391264,Projector,API,To Device,'~00150 1\r'
2025-08-26 15:10:51.343444,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 15:11:01.362449,Projector,Command,'UpdatePower,None'
2025-08-26 15:11:01.362449,Projector,API,To Device,'~00150 1\r'
2025-08-26 15:11:01.807489,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 15:11:11.825274,Projector,Command,'UpdatePower,None'
2025-08-26 15:11:11.825274,Projector,API,To Device,'~00150 1\r'
2025-08-26 15:11:12.076304,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 15:11:22.095585,Projector,Command,'UpdatePower,None'
2025-08-26 15:11:22.095585,Projector,API,To Device,'~00150 1\r'
2025-08-26 15:11:22.242163,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 15:11:32.258813,Projector,Command,'UpdatePower,None'
2025-08-26 15:11:32.258813,Projector,API,To Device,'~00150 1\r'
2025-08-26 15:11:32.514285,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 15:11:42.532266,Projector,Command,'UpdatePower,None'Timestamp,Device Name,MessageType,Data
2025-08-26 15:11:42.532266,Projector,API,To Device,'~00150 1\r'
2025-08-26 15:11:42.878651,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 15:11:52.887558,Projector,Command,'UpdatePower,None'
2025-08-26 15:11:52.887558,Projector,API,To Device,'~00150 1\r'
2025-08-26 15:11:53.178872,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 15:12:03.193325,Projector,Command,'UpdatePower,None'
2025-08-26 15:12:03.193325,Projector,API,To Device,'~00150 1\r'
2025-08-26 15:12:03.491625,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 15:12:13.501103,Projector,Command,'UpdatePower,None'
2025-08-26 15:12:13.501103,Projector,API,To Device,'~00150 1\r'
2025-08-26 15:12:13.883849,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
