Timestamp,Device Name,MessageType,Data
2025-09-05 12:54:04.473370,Processor,Option,'PrintToTrace,True'
2025-09-05 12:54:19.616966,iPad,Option,'PrintToTrace,True'
2025-09-05 12:54:19.620366,iPad,Event,'OnlineStatus,Offline'
2025-09-05 12:54:34.745710,Phone,Option,'PrintToTrace,True'
2025-09-05 12:54:34.746855,MainTP,Option,'PrintToTrace,True'
2025-09-05 12:54:34.747860,MainTP,Command,'AddPanel,BonusRoom0'
2025-09-05 12:54:34.747860,MainTP,Command,'AddPanel,BonusRoom1'
2025-09-05 12:54:34.750014,Phone,Event,'OnlineStatus,Offline'
2025-09-05 12:54:34.821242,AVR,Option,'PrintToTrace,True'
2025-09-05 12:54:34.824242,AVR,Event,'OnlineStatus,Online'
2025-09-05 12:54:34.884412,Projector,Option,'PrintToTrace,True'
2025-09-05 12:54:34.885403,Projector,Event,'ConnectionStatus,Disconnected,None'
2025-09-05 12:54:34.887354,MainTP,Command,'HideAllPopups'
2025-09-05 12:54:34.887354,MainTP,Command,'ShowPage,Start Page'
2025-09-05 12:54:35.162096,iPad,Event,'DisplayStateChanged,Unavailable'
2025-09-05 12:54:35.163096,iPad,Event,'DisplayTimerChanged,Unavailable'
2025-09-05 12:54:35.163096,iPad,Event,'DisplayTimerEnabledChanged,Unavailable'
2025-09-05 12:54:35.163096,iPad,Event,'InactivityTime,0'
2025-09-05 12:54:35.164096,iPad,Event,'LightDetectedStateChanged,Unavailable'
2025-09-05 12:54:35.164096,iPad,Event,'SleepTimerChanged,Unavailable'
2025-09-05 12:54:35.164096,iPad,Event,'SleepTimerEnabledChanged,Unavailable'
2025-09-05 12:54:39.898884,Projector,Command,'Connect'
2025-09-05 12:54:40.241256,Projector,Event,'ConnectionStatus,Connected,None'
2025-09-05 12:54:40.242118,MainTP,Command,'SetText,Label,100,lbl_projector,Projector\nStatus'
2025-09-05 12:54:50.268784,Projector,Command,'UpdatePower,None'
2025-09-05 12:54:50.269367,Projector,API,To Device,'~00150 1\r'
2025-09-05 12:54:50.361996,Phone,Event,'DisplayStateChanged,Unavailable'
2025-09-05 12:54:50.361996,Phone,Event,'DisplayTimerChanged,Unavailable'
2025-09-05 12:54:50.362996,Phone,Event,'DisplayTimerEnabledChanged,Unavailable'
2025-09-05 12:54:50.362996,Phone,Event,'InactivityTime,0'
2025-09-05 12:54:50.363996,Phone,Event,'LightDetectedStateChanged,Unavailable'
2025-09-05 12:54:50.363996,Phone,Event,'SleepTimerChanged,Unavailable'
2025-09-05 12:54:50.364995,Phone,Event,'SleepTimerEnabledChanged,Unavailable'
2025-09-05 12:54:50.700406,Projector,API,From Device,b'Ok003V\xaf8000C1500\r'
2025-09-05 12:54:50.701678,Projector,Event,'Power,Off,None'
2025-09-05 12:54:50.702682,MainTP,Command,'SetStateButton,101,btn_projector,0'
2025-09-05 12:54:50.702682,MainTP,Command,'SetTextButton,101,btn_projector,Off'
2025-09-05 12:54:50.702682,MainTP,Command,'ShowPage,Start Page'
2025-09-05 12:54:50.702682,MainTP,Command,'HideAllPopups'
2025-09-05 12:54:50.702682,Projector,Event,'Input,None,None'
2025-09-05 12:54:50.702682,Projector,Event,'DisplayMode,None,None'
2025-09-05 12:55:00.731670,Projector,Command,'UpdatePower,None'
2025-09-05 12:55:00.731670,Projector,API,To Device,'~00150 1\r'
2025-09-05 12:55:01.149128,Projector,API,From Device,b'Ok003V\xaf8000C1500\r'
2025-09-05 12:55:11.168857,Projector,Command,'UpdatePower,None'Timestamp,Device Name,MessageType,Data
2025-09-05 12:55:11.168857,Projector,API,To Device,'~00150 1\r'
2025-09-05 12:55:11.433562,Projector,API,From Device,b'Ok003V\xaf8000C1500\r'
2025-09-05 12:55:21.447771,Projector,Command,'UpdatePower,None'
2025-09-05 12:55:21.447771,Projector,API,To Device,'~00150 1\r'
2025-09-05 12:55:22.109653,Projector,API,From Device,b'Ok003V\xaf8000C1500\r'
2025-09-05 12:55:32.116750,Projector,Command,'UpdatePower,None'
2025-09-05 12:55:32.117711,Projector,API,To Device,'~00150 1\r'
2025-09-05 12:55:32.380669,Projector,API,From Device,b'Ok003V\xaf8000C1500\r'
2025-09-05 12:55:42.408036,Projector,Command,'UpdatePower,None'
2025-09-05 12:55:42.408036,Projector,API,To Device,'~00150 1\r'
2025-09-05 12:55:42.749835,Projector,API,From Device,b'Ok003V\xaf8000C1500\r'
2025-09-05 12:55:52.773453,Projector,Command,'UpdatePower,None'
2025-09-05 12:55:52.773453,Projector,API,To Device,'~00150 1\r'
2025-09-05 12:55:53.207612,Projector,API,From Device,b'Ok003V\xaf8000C1500\r'
2025-09-05 12:56:03.223822,Projector,Command,'UpdatePower,None'
2025-09-05 12:56:03.223822,Projector,API,To Device,'~00150 1\r'
2025-09-05 12:56:03.441166,Projector,API,From Device,b'Ok003V\xaf8000C1500\r'
2025-09-05 12:56:13.460852,Projector,Command,'UpdatePower,None'Timestamp,Device Name,MessageType,Data
2025-09-05 12:56:13.461872,Projector,API,To Device,'~00150 1\r'
2025-09-05 12:56:13.831541,Projector,API,From Device,b'Ok003V\xaf8000C1500\r'
2025-09-05 12:56:23.854721,Projector,Command,'UpdatePower,None'
2025-09-05 12:56:23.854721,Projector,API,To Device,'~00150 1\r'
2025-09-05 12:56:24.149851,Projector,API,From Device,b'Ok003V\xaf8000C1500\r'
2025-09-05 12:56:34.170951,Projector,Command,'UpdatePower,None'
2025-09-05 12:56:34.170951,Projector,API,To Device,'~00150 1\r'
2025-09-05 12:56:34.635468,Projector,API,From Device,b'Ok003V\xaf8000C1500\r'
2025-09-05 12:56:44.663075,Projector,Command,'UpdatePower,None'
2025-09-05 12:56:44.663075,Projector,API,To Device,'~00150 1\r'
2025-09-05 12:56:45.160635,Projector,API,From Device,b'Ok003V\xaf8000C1500\r'
2025-09-05 12:56:55.174079,Projector,Command,'UpdatePower,None'
2025-09-05 12:56:55.174079,Projector,API,To Device,'~00150 1\r'
2025-09-05 12:56:55.405896,Projector,API,From Device,b'Ok003V\xaf8000C1500\r'
2025-09-05 12:57:05.411140,Projector,Command,'UpdatePower,None'
